Question,Answer,Difficulty,Topic
"What is load balancing?","Distributing incoming requests across multiple servers","Medium","Networking"
"What is caching?","Storing frequently accessed data in fast storage for quick retrieval","Easy","Networking"
"What is CDN?","Content Delivery Network - geographically distributed servers for content delivery","Medium","Networking"
"What is microservices?","Architectural approach that structures application as collection of loosely coupled services","Hard","Architecture"
"What is monolithic architecture?","Traditional software architecture where application is built as single deployable unit","Easy","Architecture"
"What is service-oriented architecture?","Design pattern where services communicate through well-defined interfaces","Medium","Architecture"
"What is event-driven architecture?","Architecture pattern where components communicate through events","Medium","Architecture"
"What is MVC?","Model-View-Controller - architectural pattern that separates application into three components","Easy","Architecture"
"What is MVP?","Model-View-Presenter - architectural pattern similar to MVC","Medium","Architecture"
"What is MVVM?","Model-View-ViewModel - architectural pattern for modern UI development","Medium","Architecture"
"What is dependency injection?","Design pattern that implements inversion of control for resolving dependencies","Medium","Architecture"
"What is inversion of control?","Design principle where control of object creation is transferred to framework","Medium","Architecture"
"What is singleton pattern?","Design pattern that ensures class has only one instance","Easy","Design Patterns"
"What is factory pattern?","Design pattern that creates objects without specifying exact class","Easy","Design Patterns"
"What is observer pattern?","Design pattern where object maintains list of dependents and notifies them of changes","Medium","Design Patterns"
"What is strategy pattern?","Design pattern that defines family of algorithms and makes them interchangeable","Medium","Design Patterns"
"What is decorator pattern?","Design pattern that adds new functionality to objects without altering structure","Medium","Design Patterns"
"What is adapter pattern?","Design pattern that allows incompatible interfaces to work together","Medium","Design Patterns"
"What is facade pattern?","Design pattern that provides simplified interface to complex subsystem","Easy","Design Patterns"
"What is command pattern?","Design pattern that encapsulates request as object","Medium","Design Patterns"
"What is template method pattern?","Design pattern that defines skeleton of algorithm in base class","Medium","Design Patterns"
"What is builder pattern?","Design pattern that constructs complex objects step by step","Medium","Design Patterns"
"What is prototype pattern?","Design pattern that creates objects by cloning existing instance","Medium","Design Patterns"
"What is bridge pattern?","Design pattern that separates abstraction from implementation","Hard","Design Patterns"
"What is composite pattern?","Design pattern that composes objects into tree structures","Medium","Design Patterns"
"What is proxy pattern?","Design pattern that provides placeholder or surrogate for another object","Medium","Design Patterns"
"What is chain of responsibility?","Design pattern that passes requests along chain of handlers","Medium","Design Patterns"
"What is interpreter pattern?","Design pattern that defines grammar for language and interpreter","Hard","Design Patterns"
"What is iterator pattern?","Design pattern that provides way to access elements of collection sequentially","Easy","Design Patterns"
"What is mediator pattern?","Design pattern that defines how set of objects interact with each other","Medium","Design Patterns"
"What is memento pattern?","Design pattern that captures and restores object's internal state","Medium","Design Patterns"
"What is state pattern?","Design pattern that allows object to alter behavior when internal state changes","Medium","Design Patterns"
"What is visitor pattern?","Design pattern that separates algorithm from object structure","Hard","Design Patterns"
"What is unit testing?","Testing individual components or modules in isolation","Easy","Testing"
"What is integration testing?","Testing interaction between integrated components","Easy","Testing"
"What is system testing?","Testing complete integrated system","Easy","Testing"
"What is acceptance testing?","Testing to determine if system meets business requirements","Easy","Testing"
"What is regression testing?","Testing to ensure new changes don't break existing functionality","Easy","Testing"
"What is test-driven development?","Development approach where tests are written before code","Medium","Testing"
"What is behavior-driven development?","Development approach that focuses on behavior specification","Medium","Testing"
"What is mock testing?","Testing using mock objects to simulate dependencies","Medium","Testing"
"What is code coverage?","Measure of how much code is executed during testing","Easy","Testing"
"What is white box testing?","Testing based on internal structure and implementation","Medium","Testing"
"What is black box testing?","Testing based on external behavior without knowledge of internal structure","Easy","Testing"
"What is performance testing?","Testing to determine system performance under various conditions","Medium","Testing"
"What is load testing?","Testing system behavior under expected load conditions","Medium","Testing"
"What is stress testing?","Testing system behavior under extreme load conditions","Medium","Testing"
"What is security testing?","Testing to identify vulnerabilities and security flaws","Medium","Testing"
"What is usability testing?","Testing to evaluate user experience and interface design","Easy","Testing"
"What is automated testing?","Testing performed by automation tools rather than humans","Easy","Testing"
"What is manual testing?","Testing performed by human testers","Easy","Testing"
"What is continuous integration?","Practice of frequently integrating code changes into shared repository","Medium","DevOps"
"What is continuous deployment?","Practice of automatically deploying code changes to production","Medium","DevOps"
"What is version control?","System that tracks changes to files over time","Easy","DevOps"
"What is Git?","Distributed version control system for tracking changes in source code","Easy","DevOps"
"What is Docker?","Platform for developing, shipping, and running applications in containers","Medium","DevOps"
"What is containerization?","OS-level virtualization that packages applications with dependencies","Medium","DevOps"
"What is Kubernetes?","Container orchestration platform for automating deployment and management","Hard","DevOps"
"What is infrastructure as code?","Managing and provisioning infrastructure through machine-readable files","Medium","DevOps"
"What is monitoring?","Process of observing system performance and behavior","Easy","DevOps"
"What is logging?","Recording events and activities for debugging and analysis","Easy","DevOps"
"What is scalability?","Ability of system to handle increased load","Easy","Architecture"
"What is availability?","Measure of system uptime and accessibility","Easy","Architecture"
"What is reliability?","Ability of system to perform consistently over time","Easy","Architecture"
"What is fault tolerance?","Ability of system to continue operating despite failures","Medium","Architecture"
"What is disaster recovery?","Process of restoring system after catastrophic failure","Medium","Architecture"
"What is backup?","Copy of data stored separately for protection against loss","Easy","Architecture"
"What is encryption?","Process of converting data into coded form to prevent unauthorized access","Easy","Security"
"What is authentication?","Process of verifying identity of user or system","Easy","Security"
"What is authorization?","Process of granting or denying access to resources","Easy","Security"
"What is SSL/TLS?","Cryptographic protocols for secure communication over networks","Medium","Security"
"What is firewall?","Network security device that monitors and controls network traffic","Easy","Security"
"What is intrusion detection?","Process of monitoring network for malicious activities","Medium","Security"
"What is penetration testing?","Simulated cyber attack to evaluate security of system","Medium","Security"
"What is vulnerability assessment?","Process of identifying security weaknesses in system","Medium","Security"
"What is cross-site scripting?","Security vulnerability that allows injection of malicious scripts","Medium","Security"
"What is cross-site request forgery?","Attack that tricks user into executing unwanted actions","Medium","Security"
"What is buffer overflow?","Vulnerability where program writes data beyond buffer boundaries","Hard","Security"
"What is social engineering?","Manipulation of people to divulge confidential information","Easy","Security"
"What is phishing?","Fraudulent attempt to obtain sensitive information by impersonation","Easy","Security"
"What is malware?","Malicious software designed to damage or gain unauthorized access","Easy","Security"
"What is virus?","Malicious program that replicates by inserting copies into other programs","Easy","Security"
"What is worm?","Malicious program that replicates itself across networks","Easy","Security"
"What is trojan horse?","Malicious program disguised as legitimate software","Easy","Security"
"What is ransomware?","Malware that encrypts files and demands payment for decryption","Medium","Security"
"What is spyware?","Software that secretly monitors and collects user information","Easy","Security"
"What is adware?","Software that displays unwanted advertisements","Easy","Security"
"What is rootkit?","Malicious software that hides its presence on infected system","Medium","Security"
"What is botnet?","Network of infected computers controlled remotely","Medium","Security"
"What is denial of service?","Attack that makes system unavailable to legitimate users","Medium","Security"
"What is distributed denial of service?","DoS attack using multiple compromised systems","Medium","Security"
"What is man-in-the-middle attack?","Attack where attacker intercepts communication between parties","Medium","Security"
"What is session hijacking?","Attack where attacker takes over user session","Medium","Security"
"What is privilege escalation?","Attack where attacker gains higher access privileges","Medium","Security"
"What is zero-day exploit?","Attack that exploits previously unknown vulnerability","Hard","Security"
"What is patch management?","Process of managing updates and fixes for software","Easy","Security"
"What is incident response?","Organized approach to addressing security breaches","Medium","Security"
"What is forensics?","Investigation of digital evidence after security incident","Medium","Security"
"What is compliance?","Adherence to laws, regulations, and standards","Easy","Security"
"What is GDPR?","General Data Protection Regulation - EU privacy law","Easy","Security"
"What is HIPAA?","Health Insurance Portability and Accountability Act - US healthcare privacy law","Easy","Security"
"What is PCI DSS?","Payment Card Industry Data Security Standard","Medium","Security"
