Question,Answer,Difficulty,Topic
"N-Queens: Place n queens on n×n chessboard so no two queens attack each other.","Backtracking with constraint checking. Use arrays to track column and diagonal conflicts. Time: O(n!), Space: O(n)","Hard","Backtracking"
"Word Ladder: Find shortest transformation sequence from beginWord to endWord.","BFS with word transformations. Each step changes one character. Time: O(m²*n), Space: O(m²*n)","Hard","BFS"
"Alien Dictionary: Find order of characters in alien language from sorted words.","Topological sort. Build graph from character order constraints. Time: O(c), Space: O(1) where c is total characters","Hard","Topological Sort"
"Course Schedule: Determine if you can finish all courses given prerequisites.","Detect cycle in directed graph using DFS or topological sort with BFS. Time: O(v+e), Space: O(v+e)","Medium","Graph"
"Number of Islands: Count number of islands in 2D binary grid.","DFS or BFS to mark connected land cells. Count number of DFS/BFS calls. Time: O(m*n), Space: O(m*n)","Medium","DFS"
"Clone Graph: Return deep copy of undirected graph.","DFS or BFS with hash map to track visited nodes and their clones. Time: O(n+m), Space: O(n)","Medium","Graph"
"Pacific Atlantic Water Flow: Find cells where water can flow to both Pacific and Atlantic oceans.","DFS from ocean borders inward. Find intersection of reachable cells. Time: O(m*n), Space: O(m*n)","Medium","DFS"
"Word Search: Find if word exists in 2D board of characters.","DFS with backtracking. Mark visited cells and unmark after exploring. Time: O(m*n*4^l), Space: O(l)","Medium","Backtracking"
"Combination Sum: Find all unique combinations that sum to target.","Backtracking with recursion. Include/exclude each candidate. Handle duplicates. Time: O(2^n), Space: O(target/min)","Medium","Backtracking"
"Permutations: Generate all possible permutations of distinct integers.","Backtracking by swapping elements or using visited array. Time: O(n!), Space: O(n)","Medium","Backtracking"
"Subsets: Generate all possible subsets of integer array.","Backtracking or bit manipulation. For each element, include or exclude. Time: O(2^n), Space: O(2^n)","Medium","Backtracking"
"Generate Parentheses: Generate all combinations of well-formed parentheses.","Backtracking with constraints: open < n and close < open. Time: O(4^n/√n), Space: O(4^n/√n)","Medium","Backtracking"
"Letter Combinations of Phone Number: Return all possible letter combinations for phone number.","Backtracking through digit-to-letter mapping. Time: O(4^n), Space: O(4^n)","Medium","Backtracking"
"Palindromic Substrings: Count number of palindromic substrings.","Expand around centers approach. Check odd and even length palindromes. Time: O(n²), Space: O(1)","Medium","String"
"Longest Palindromic Substring: Find longest palindromic substring.","Expand around centers or Manacher's algorithm. Time: O(n²) or O(n), Space: O(1) or O(n)","Medium","String"
"Valid Anagram: Determine if two strings are anagrams.","Sort both strings and compare, or use character frequency count. Time: O(n log n) or O(n), Space: O(1)","Easy","String"
"Implement Trie: Implement trie data structure with insert, search, and startsWith.","Use TrieNode with children array and isEnd flag. Time: O(m) for operations, Space: O(alphabet_size * n * m)","Medium","Trie"
"Word Search II: Find all words from dictionary that exist in 2D board.","Build trie from dictionary, then DFS on board with trie traversal. Time: O(m*n*4^l), Space: O(k*l)","Hard","Trie"
"Design Add and Search Words Data Structure: Support adding words and searching with '.' wildcard.","Use trie with DFS for wildcard search. Time: O(m) for add, O(n) for search, Space: O(alphabet_size * n * m)","Medium","Trie"
"Serialize and Deserialize Binary Tree: Design algorithm to serialize and deserialize binary tree.","Use preorder traversal with null markers. Time: O(n), Space: O(n)","Hard","Binary Tree"
"Binary Tree Maximum Path Sum: Find maximum path sum in binary tree.","Post-order traversal, track max path through each node. Time: O(n), Space: O(h)","Hard","Binary Tree"
"Lowest Common Ancestor of Binary Tree: Find LCA of two nodes in binary tree.","Recursive approach: if root is p or q, return root. Check left and right subtrees. Time: O(n), Space: O(h)","Medium","Binary Tree"
"Binary Tree Level Order Traversal: Return level order traversal of binary tree.","BFS using queue. Process nodes level by level. Time: O(n), Space: O(w) where w is max width","Medium","BFS"
"Binary Tree Zigzag Level Order Traversal: Return zigzag level order traversal.","BFS with alternating direction flag or use two stacks. Time: O(n), Space: O(w)","Medium","BFS"
"Construct Binary Tree from Preorder and Inorder: Build binary tree from preorder and inorder arrays.","Use preorder for root, inorder to split left/right subtrees. Time: O(n), Space: O(n)","Medium","Binary Tree"
"Validate Binary Search Tree: Determine if binary tree is valid BST.","In-order traversal should be sorted, or use min/max bounds. Time: O(n), Space: O(h)","Medium","Binary Tree"
"Kth Smallest Element in BST: Find kth smallest element in BST.","In-order traversal with counter or use BST property with node counts. Time: O(h+k), Space: O(h)","Medium","Binary Tree"
"Delete Node in BST: Delete node with given key in BST.","Handle three cases: no children, one child, two children. Time: O(h), Space: O(h)","Medium","Binary Tree"
"Implement LRU Cache: Design LRU cache with get and put operations.","Use doubly linked list + hash map. Time: O(1) for both operations, Space: O(capacity)","Medium","Design"
"Min Stack: Design stack supporting push, pop, top, and getMin in O(1).","Use two stacks: main stack and min stack. Time: O(1) for all operations, Space: O(n)","Easy","Design"
"Design Twitter: Design simplified Twitter with postTweet, getNewsFeed, follow, unfollow.","Use hash maps for users, tweets, and follows. Merge k sorted lists for news feed. Time varies by operation","Medium","Design"
"LFU Cache: Design LFU cache with get and put operations.","Use hash maps and doubly linked lists to track frequency and recency. Time: O(1), Space: O(capacity)","Hard","Design"
"Design Search Autocomplete System: Design search autocomplete system.","Use trie for storing sentences with frequency. Return top 3 hot sentences. Time: O(p+q+mlogm), Space: O(n*m)","Hard","Design"
"Meeting Rooms: Determine if person can attend all meetings given array of meeting intervals.","Sort intervals by start time, check for overlaps. Time: O(n log n), Space: O(1)","Easy","Intervals"
"Meeting Rooms II: Find minimum number of conference rooms required.","Use min heap to track end times of ongoing meetings. Time: O(n log n), Space: O(n)","Medium","Intervals"
"Non-overlapping Intervals: Find minimum number of intervals to remove to make rest non-overlapping.","Greedy: sort by end time, keep intervals with earliest end time. Time: O(n log n), Space: O(1)","Medium","Intervals"
"Minimum Number of Arrows to Burst Balloons: Find minimum arrows needed to burst all balloons.","Sort by end coordinate, shoot arrow at end of each group. Time: O(n log n), Space: O(1)","Medium","Intervals"
"Task Scheduler: Find minimum time to execute all tasks with cooling period.","Calculate idle time based on most frequent task. Time: O(n), Space: O(1)","Medium","Greedy"
"Gas Station: Find starting gas station to complete circular route.","Track total gas and current gas. If total >= 0, solution exists. Time: O(n), Space: O(1)","Medium","Greedy"
"Candy: Distribute minimum candies to children based on ratings.","Two passes: left to right for increasing ratings, right to left for decreasing. Time: O(n), Space: O(n)","Hard","Greedy"
"Queue Reconstruction by Height: Reconstruct queue based on height and number of taller people.","Sort by height desc, then by count asc. Insert at count position. Time: O(n²), Space: O(n)","Medium","Greedy"
"Partition Labels: Partition string into as many parts as possible where each letter appears in at most one part.","Track last occurrence of each character, extend partition to include all characters. Time: O(n), Space: O(1)","Medium","Greedy"
"Hand of Straights: Determine if cards can be rearranged into groups of consecutive cards.","Use hash map to count cards, greedy approach to form groups. Time: O(n log n), Space: O(n)","Medium","Greedy"
"Reorganize String: Rearrange string so no two adjacent characters are same.","Use max heap based on character frequency. Time: O(n log k), Space: O(k)","Medium","Heap"
"Find Median from Data Stream: Design data structure to find median from stream of integers.","Use two heaps: max heap for smaller half, min heap for larger half. Time: O(log n), Space: O(n)","Hard","Heap"
"Sliding Window Median: Find median of each sliding window of size k.","Use two multisets or balanced BST. Time: O(n log k), Space: O(k)","Hard","Sliding Window"
"Smallest Range Covering Elements from K Lists: Find smallest range that includes at least one number from each list.","Use min heap with pointers to each list. Time: O(n log k), Space: O(k)","Hard","Heap"
"Ugly Number II: Find nth ugly number (only factors 2, 3, 5).","Use three pointers for multiples of 2, 3, 5. Generate ugly numbers in order. Time: O(n), Space: O(n)","Medium","Dynamic Programming"
"Super Ugly Number: Find nth super ugly number given array of prime factors.","Extend ugly number approach with multiple prime factors. Time: O(n*k), Space: O(n+k)","Medium","Dynamic Programming"
"Perfect Squares: Find least number of perfect squares that sum to n.","Dynamic programming or BFS. dp[i] = min(dp[i], dp[i-j*j] + 1). Time: O(n*√n), Space: O(n)","Medium","Dynamic Programming"
"Counting Bits: Count number of 1s in binary representation for numbers 0 to n.","Use DP: dp[i] = dp[i >> 1] + (i & 1). Time: O(n), Space: O(n)","Easy","Bit Manipulation"
"Number of 1 Bits: Count number of 1 bits in unsigned integer.","Use bit manipulation: n & (n-1) removes rightmost 1 bit. Time: O(log n), Space: O(1)","Easy","Bit Manipulation"
"Reverse Bits: Reverse bits of 32-bit unsigned integer.","Process each bit and build result from right to left. Time: O(1), Space: O(1)","Easy","Bit Manipulation"
"Single Number: Find element that appears once while others appear twice.","Use XOR operation: a ^ a = 0, a ^ 0 = a. Time: O(n), Space: O(1)","Easy","Bit Manipulation"
"Single Number II: Find element that appears once while others appear thrice.","Use bit manipulation with counters or XOR with state machine. Time: O(n), Space: O(1)","Medium","Bit Manipulation"
"Single Number III: Find two elements that appear once while others appear twice.","XOR all numbers, then separate into two groups based on rightmost set bit. Time: O(n), Space: O(1)","Medium","Bit Manipulation"
"Missing Number: Find missing number in array containing n distinct numbers from 0 to n.","Use XOR, sum formula, or binary search. Time: O(n), Space: O(1)","Easy","Bit Manipulation"
"Power of Two: Determine if integer is power of two.","Use bit manipulation: n > 0 && (n & (n-1)) == 0. Time: O(1), Space: O(1)","Easy","Bit Manipulation"
"Power of Three: Determine if integer is power of three.","Use logarithm or check if 3^19 % n == 0 (since 3^19 is largest power of 3 in 32-bit). Time: O(1), Space: O(1)","Easy","Math"
"Power of Four: Determine if integer is power of four.","Check if power of two and (n-1) % 3 == 0, or use bit pattern. Time: O(1), Space: O(1)","Easy","Bit Manipulation"
